ANMOIS,DEP,ARR,PC15_D,PC15_A,RETARD_D,RETARD_A,annee,mois
201209,LFMN,LIMC,0.143,,6.1,,2012,09
201209,LFMN,LFKC,0.128,,7.6,,2012,09
201209,LFMN,LFBO,0.062,0.103,5.6,6.3,2012,09
201209,LFMN,EDDL,0.400,,18.5,,2012,09
201209,LFMN,LFKF,0.234,,11.7,,2012,09
201209,LFMN,LFKJ,0.074,0.074,8.6,7.2,2012,09
201209,LFMN,LPPT,0.300,,22.3,,2012,09
201209,LFMN,LFPO,0.163,0.129,8.9,6.8,2012,09
201209,LFMN,LFRN,0.138,,6.1,,2012,09
201209,LFMN,LIRN,0.227,,6.6,,2012,09
201209,LFMN,EGKK,0.271,,13.1,,2012,09
201209,LFMN,EGGW,0.466,,22.4,,2012,09
201209,LFMN,EDDB,0.226,,7.9,,2012,09
201209,LFMN,LEMD,0.211,,10.7,,2012,09
201209,LFMN,EGGD,0.133,,9.8,,2012,09
201209,LFMN,EGPH,0.118,,8.9,,2012,09
201209,LFMN,EGAA,0.154,,6.3,,2012,09
201209,LFMN,LOWW,0.170,,8.1,,2012,09
201209,LFMN,EGSS,0.133,,6.0,,2012,09
201209,LFMN,LFKB,0.115,,6.0,,2012,09
201209,LFMN,GMMN,0.190,,8.3,,2012,09
201209,LFMN,EGGP,0.200,,11.3,,2012,09
201209,LFMN,EDDM,0.201,,8.8,,2012,09
201209,LFMN,EGBB,0.182,,27.3,,2012,09
201209,LFMN,EGNT,0.000,,3.9,,2012,09
201209,LFMN,ESSA,0.200,,10.2,,2012,09
201209,LFMN,EDDT,0.227,,10.6,,2012,09
201209,LFMN,DTTA,0.661,,61.9,,2012,09
201209,LFMN,ELLX,0.129,,7.3,,2012,09
201209,LFMN,EFHK,0.219,,9.8,,2012,09
201209,LFMN,EPWA,0.148,,11.4,,2012,09
201209,LFMN,ULLI,0.579,,25.1,,2012,09
201209,LFMN,DTTJ,0.308,,17.2,,2012,09
201209,LFMN,EDDF,0.198,,11.7,,2012,09
201209,LFMN,EGNM,0.357,,11.9,,2012,09
201209,LFMN,EGHI,0.611,,23.6,,2012,09
201209,LFMN,ENGM,0.215,,11.0,,2012,09
201209,LFMN,EDDK,0.533,,21.4,,2012,09
201209,LFMN,UUEE,0.114,,6.0,,2012,09
201209,LFMN,EHRD,0.133,,6.4,,2012,09
201209,LFMN,EVRA,0.077,,7.4,,2012,09
201209,LFMN,EGLL,0.215,,11.2,,2012,09
201209,LFMN,LLBG,0.333,,21.9,,2012,09
201209,LFMN,DAAG,0.615,,32.6,,2012,09
201209,LFMN,DTMB,0.350,,12.3,,2012,09
201209,LFMN,LROP,0.250,,13.2,,2012,09
201209,LFMN,UKBB,0.083,,45.1,,2012,09
201209,LFMN,LTBA,0.119,,6.3,,2012,09
201209,LFMN,OMDB,0.267,,12.3,,2012,09
201209,LFMN,KJFK,0.034,,4.4,,2012,09
201209,LFLL,LFSB,0.114,0.159,5.1,5.0,2012,09
201209,LFLL,EKCH,0.167,,10.1,,2012,09
201209,LFLL,LSZH,0.067,,5.1,,2012,09
201209,LFLL,LIRF,0.125,,8.3,,2012,09
201209,LFLL,LKPR,0.033,,2.4,,2012,09
201209,LFLL,LEBL,0.080,,5.9,,2012,09
201209,LFLL,EBBR,0.158,,8.9,,2012,09
201209,LFLL,LFMN,0.083,0.063,4.8,4.2,2012,09
201209,LFLL,LFPG,0.046,0.052,2.9,2.4,2012,09
201209,LFLL,LFST,0.067,0.053,3.0,1.7,2012,09
201209,LFLL,EIDW,0.042,,3.0,,2012,09
201209,LFLL,LFQQ,0.063,,2.9,,2012,09
201209,LFLL,LFJL,0.101,,4.2,,2012,09
